species,name,atoms,cas_no,charge
CD4,methane-d4,5,558203,0.0
CH4,Methane,5,74828,0.0
CH3Li,methyl lithium,5,917544,0.0
C2H3,vinyl,5,2669898,0.0
CH2BH,methyleneborane,5,56125758,0.0
NH4,Ammonium radical,5,14798039,0.0
CHNH2,aminomethylene,5,35430172,0.0
CH2NH,Methanimine,5,2053294,0.0
NH2CN,cyanamide,5,420042,0.0
CH2NN,diazomethane,5,334883,0.0
HNCNH,diiminomethane,5,151519,0.0
CH2N2,diazirine,5,157222,0.0
HCCCN,Cyanoacetylene,5,1070719,0.0
CH3O,Methoxy radical,5,2143682,0.0
CH2OH,Hydroxymethyl radical,5,2597435,0.0
NH3O,Ammonia Oxide,5,38544488,0.0
NH2OH,hydroxylamine,5,7803498,0.0
Be(OH)2,Beryllium hydroxide,5,13327327,0.0
NH2NO,Nitrosamide,5,35576911,0.0
H2COO,Dioxymethyl radical,5,56077920,0.0
HCCOH,ethynol,5,32038792,0.0
H2O3,Hydrogen trioxide,5,14699991,0.0
CH2O2,Dioxirane,5,157266,0.0
C2H2O,Oxirene,5,157186,0.0
CH2CO,Ketene,5,463514,0.0
HCOOH,Formic acid,5,64186,0.0
HNO3,Nitric acid,5,7697372,0.0
B2O3,diboron trioxide,5,1303862,0.0
C3O2,Carbon suboxide,5,504643,0.0
BeCO3,Beryllium Carbonate,5,744998978,0.0
ONONO,Nitrosyl nitrite,5,122413358,0.0
N2O3,Dinitrogen trioxide,5,10544737,0.0
CD3F,methylfluoride-d3,5,558214,0.0
CH3F,Methyl fluoride,5,593533,0.0
CH2F2,"Methane, difluoro-",5,75105,0.0
CHF3,"Methane, trifluoro-",5,75467,0.0
FNO3,Fluorine nitrate,5,7789266,0.0
F3NO,Nitrogen trifluoride oxide,5,13847659,0.0
CF4,Carbon tetrafluoride,5,75730,0.0
Mg(OH)2,Magnesium dihydroxide,5,1309428,0.0
MgCO3,Magnesium Carbonate,5,695808812,0.0
SiH2D2,silane-d2,5,13780319,0.0
SiH4,Silane,5,7803625,0.0
SiH3F,monofluorosilane,5,13537332,0.0
SiH2F2,difluorosilane,5,13824367,0.0
SiHF3,trifluorosilane,5,13465719,0.0
SiF4,Silicon tetrafluoride,5,7783611,0.0
PH4,Phosphoranyl radical,5,16749136,0.0
H2POH,Phosphinous acid,5,25756870,0.0
CH2PH,Phosphaethene,5,61183537,0.0
H3PO,Phosphine oxide,5,13840409,0.0
F3PO,Phosphoryl fluoride,5,13478201,0.0
NH2SH,Thiohydroxylamine,5,14097008,0.0
NH3S,sulfidoazane,5,98402358,0.0
CH3S,thiomethoxy,5,7175759,0.0
CH2CS,Thioketene,5,18282774,0.0
HSSSH,trisulfane,5,13845233,0.0
HSO3,Hydroxysulfonyl radical,5,104267223,0.0
SF4,Sulfur tetrafluoride,5,7783600,0.0
SO2F2,Sulfuryl fluoride,5,2699798,0.0
CD3Cl,methyl chloride d3,5,1111893,0.0
CH3Cl,Methyl chloride,5,74873,0.0
SiH3Cl,chlorosilane,5,13465786,0.0
CH2Cl2,Methylene chloride,5,75092,0.0
CH2FCl,fluorochloromethane,5,593704,0.0
SiH2Cl2,dichlorosilane,5,4109960,0.0
CDCl3,trichloromethane-d,5,865496,0.0
CHF2Cl,difluorochloromethane,5,75456,0.0
CHFCl2,fluorodichloromethane,5,75434,0.0
CHCl3,Chloroform,5,67663,0.0
HClO3,Chloric Acid,5,7790934,0.0
SiHCl3,Trichlorosilane,5,10025782,0.0
Cl3PO,Phosphoryl chloride,5,10025873,0.0
SiCl4,"Silane, tetrachloro-",5,10026047,0.0
SO2Cl2,Sulfuryl chloride,5,7791255,0.0
SCl4,Sulfur tetrachloride,5,13451086,0.0
ClONO2,Chlorine nitrate,5,14545723,0.0
ClOF3,Chlorine trifluoride oxide,5,30708806,0.0
CCl4,Carbon tetrachloride,5,56235,0.0
CFCl3,Trichloromonofluoromethane,5,75694,0.0
CF2Cl2,difluorodichloromethane,5,75718,0.0
CF3Cl,"Methane, chlorotrifluoro-",5,75729,0.0
ClFO3,Perchloryl fluoride,5,7616946,0.0
CaCO3,Calcium Carbonate,5,471341,0.0
TiCl4,Titanium tetrachloride,5,7550450,0.0
TiF4,Titanium tetrafluoride,5,7783633,0.0
CuCH3,monomethyl copper,5,9000231,0.0
ZnCH3,Zinc monomethyl,5,42217981,0.0
GeH4,Germane,5,7782652,0.0
GeH3Cl,monochlorogermane,5,13637655,0.0
GeH3F,monofluorogermane,5,13537309,0.0
GeF4,Germanium tetrafluoride,5,7783586,0.0
GeCl4,Germanium Tetrachloride,5,10038989,0.0
SeF4,Selenium tetrafluoride,5,13465662,0.0
SiH3Br,bromosilane,5,13465731,0.0
CH3Br,methyl bromide,5,74839,0.0
CH2Br2,dibromomethane,5,74953,0.0
CH2BrCl,"Methane, bromochloro-",5,74975,0.0
CH2BrF,"Methane, bromofluoro-",5,373524,0.0
CHClBr2,"Methane, dibromochloro-",5,124481,0.0
CHBr3,bromoform,5,75252,0.0
CHBrCl2,"Methane, bromodichloro-",5,75274,0.0
CHFClBr,fluorochlorobromomethane,5,593986,0.0
CHBrF2,"Methane, bromodifluoro-",5,1511622,0.0
CHBr2F,dibromofluoromethane,5,1868537,0.0
CBr3Cl,tribromochloromethane,5,594150,0.0
CBr2Cl2,dibromodichloromethane,5,594183,0.0
CBr2F2,"Methane, dibromodifluoro-",5,75616,0.0
CBrCl3,"Methane, bromotrichloro-",5,75627,0.0
CF3Br,Bromotrifluoromethane,5,75638,0.0
CFBr3,fluorotribromomethane,5,353548,0.0
CBr2ClF,dibromochlorofluoromethane,5,353559,0.0
CBrCl2F,bromodichlorofluoromethane,5,353582,0.0
CBrClF2,"Methane, bromochlorodifluoro-",5,353593,0.0
CBr4,Carbon tetrabromide,5,558134,0.0
GeBr4,Germanium tetrabromide,5,13450925,0.0
SiBr4,Silicon tetrabromide,5,7789664,0.0
BrONO2,Bromine nitrate,5,40423141,0.0
SnH4,Stannane,5,2406522,0.0
CH3I,methyl iodide,5,74884,0.0
SiH3I,Silyl Iodide,5,13598420,0.0
CH2I2,Diiodomethane,5,75116,0.0
CH2ClI,chloroiodomethane,5,593715,0.0
CH2BrI,bromoiodomethane,5,557686,0.0
CH2FI,fluoroiodomethane,5,373535,0.0
CHI3,Iodoform,5,75478,0.0
CHFClI,fluorochloroiodomethane,5,1512283,0.0
CHF2I,difluoroiodomethane,5,1493034,0.0
CHCl2I,dichloroiodomethane,5,594047,0.0
CCl3I,trichloroiodomethane,5,594229,0.0
CCl2I2,dichlorodiiodomethane,5,594230,0.0
CFClBrI,fluorochlorobromoiodomethane,5,753651,0.0
CF2I2,difluorodiiodomethane,5,1184765,0.0
CF3I,trifluoroiodomethane,5,2314978,0.0
CI4,tetraiodomethane,5,507255,0.0
SiI4,silicon tetraiodide,5,13465844,0.0
CBr3I,tribromoiododmethane,5,14349805,0.0
XeF4,Xenon tetrafluoride,5,13709610,0.0
HBHHBH,Diborane(4) C2V,6,9000348,0.0
LiBH4,Lithium borohydride,6,16949158,0.0
B2H4,Diborane(4) D2d,6,18099451,0.0
C2H4,Ethylene,6,74851,0.0
CH3CH,methylmethylene,6,4218502,0.0
C3H3,Propargyl radical,6,2932787,0.0
C3H3,cyclopropenyl radical,6,9000220,0.0
C4H2,Diacetylene,6,460128,0.0
N2H4,Hydrazine,6,302012,0.0
BH2NH2,Boranamine,6,14720355,0.0
H2CCNH,Ethenimine,6,17619226,0.0
HCCNH2,Ethynamine,6,52324046,0.0
H2CNCH,methyleneaminomethylene,6,88333022,0.0
CHNCH2,2H-Azirine,6,157164,0.0
CHNHCH,1H-Azirine,6,157175,0.0
CH3NC,methyl isocyanide,6,593759,0.0
CH3CN,Acetonitrile,6,75058,0.0
H2CNCN,"cyanamide, methylene",6,43730263,0.0
HNCCNH,Ethenediimine,6,20815456,0.0
C4N2,2-Butynedinitrile,6,1071983,0.0
CH3OH,Methyl alcohol,6,67561,0.0
H2OH2O,water dimer,6,25655838,0.0
CH2BOH,hydroxy(methylene)borane,6,422506716,0.0
CH3BO,"Borane, methyloxo-",6,79723210,0.0
HOCHNH,hydroxymethylimine,6,9000777,0.0
CH2OOH,CH2OOH radical,6,9000344,0.0
BH3CO,Borane carbonyl,6,13205442,0.0
CHONH2,formamide,6,75127,0.0
CH2NOH,formaldoxime,6,75172,0.0
CH3NO,nitrosomethane,6,865407,0.0
CH3OO,methylperoxy radical,6,2143580,0.0
CH3CO,Acetyl radical,6,3170692,0.0
CH2CHO,Vinyloxy radical,6,4400015,0.0
CNOH3,"1,2-oxaziridine",6,6827265,0.0
C2H2CO,cyclopropenone,6,2961800,0.0
HCCCHO,2-propynal,6,624679,0.0
C2H2O2,Ethanedial,6,107222,0.0
H2CO3,Carbonic acid,6,463796,0.0
NH2NO2,nitramide,6,7782947,0.0
C3H2O,Propadienal,6,61244937,0.0
HOONO2,peroxy nitric acid,6,26404660,0.0
N2O4,Dinitrogen tetroxide,6,10544726,0.0
Li2CO3,Lithium Carbonate,6,554132,0.0
CH2FOH,fluoromethanol,6,420031,0.0
CH2CHF,"Ethene, fluoro-",6,75025,0.0
CH2CF2,"Ethene, 1,1-difluoro-",6,75387,0.0
C2H2F2,"Ethene, 1,2-difluoro-, (Z)-",6,1630779,0.0
C2H2F2,"Ethene, 1,2-difluoro-, (E)-",6,1630780,0.0
CF3OH,trifluoromethanol,6,1493114,0.0
C2HF3,Trifluoroethylene,6,359115,0.0
CF3OF,Trifluoromethylhypofluorite,6,373911,0.0
CF3CN,"Acetonitrile, trifluoro-",6,353855,0.0
C2F4,Tetrafluoroethylene,6,116143,0.0
B2F4,Diboron tetrafluoride,6,13965736,0.0
C4F2,difluorobutadiyne,6,64788234,0.0
NaOCH3,Sodium methoxide,6,124414,0.0
Na2CO3,Sodium Carbonate,6,9000444,0.0
CH2SiH2,silaethylene,6,51067846,0.0
Si2H4,Disilene,6,15435775,0.0
SiH3OH,silanol,6,14475388,0.0
P2H4,Diphosphine,6,13445506,0.0
N3P3,"1,3,5,2,4,6-Triazatriphosphorine",6,291372,0.0
PF5,Phosphorus pentafluoride,6,7647190,0.0
CH3SH,Methanethiol,6,74931,0.0
CHSNH2,thioformamide,6,115082,0.0
NHCHSH,Methanimidothioic acid,6,60100109,0.0
H2SO3,Sulfurous acid,6,7782992,0.0
H2CS3,thiocarbonic acid,6,594081,0.0
HSO3F,Fluorosulfonic acid,6,7789211,0.0
SF5,Sulfur pentafluoride,6,10546017,0.0
MgSO4,Magnesium Sulfate,6,7487889,0.0
NH4Cl,Ammonium chloride,6,12125029,0.0
CH3OCl,methyl hypochlorite,6,593782,0.0
C2H3Cl,"Ethene, chloro-",6,75014,0.0
CH2CCl2,"Ethene, 1,1-dichloro-",6,75354,0.0
CHClCHCl,"Ethene, 1,2-dichloro-, (Z)-",6,156592,0.0
CHClCHCl,"Ethene, 1,2-dichloro-, (E)-",6,156605,0.0
C2H2ClF,1-chloro-1-fluoroethylene,6,2317911,0.0
CHFCHClz,(Z)-1-Chloro-2-fluoroethene,6,2268317,0.0
CHFCHCl,(E)-1-chloro-2-fluoroethene,6,2268328,0.0
HClO4,perchloric acid,6,7601903,0.0
CHClCCl2,Trichloroethylene,6,79016,0.0
CF2CCl2,difluorodichloroethylene,6,79356,0.0
ClCOClCO,Oxalyl chloride,6,79378,0.0
C2ClF3,"Ethene, chlorotrifluoro-",6,79389,0.0
C2Cl4,Tetrachloroethylene,6,127184,0.0
CFClCClF,"trans-1,2-dichloro-1,2-difluoroethylene",6,381715,0.0
C2FCl3,fluorotrichloroethene,6,359295,0.0
CFClCFCl,"cis-1,2-dichloro-1,2-difluoroethylene",6,311819,0.0
PCl5,Phosphorus pentachloride,6,10026138,0.0
B2Cl4,Diboron tetrachloride,6,13701672,0.0
ClF5,chlorinepentafluoride,6,13637633,0.0
SOF4,Sulfur tetrafluoride oxide,6,13709541,0.0
AsF5,Arsenic pentafluoride,6,7784363,0.0
CH3SeH,Methane selenol,6,204,0.0
CH3MgBr,Methyl Magnesium Bromide,6,75161,0.0
C2H3Br,vinyl bromide,6,593602,0.0
CHBrCHBr,"Ethene, 1,2-dibromo-, (Z)-",6,590114,0.0
CHBrCHBr,"Ethene, 1,2-dibromo-, (E)-",6,590125,0.0
C2H2Br2,"1,1-dibromoethene",6,593920,0.0
CHBrCF2,"1-Bromo-2,2-difluoroethylene",6,359080,0.0
C2Br4,tetrabromoethene,6,79287,0.0
BrF5,bromine pentafluoride,6,7789302,0.0
SbCl5,Antimony pentachloride,6,7647189,0.0
C2H3I,Vinyl iodide,6,593668,0.0
IF5,pentafluoroiodine,6,7783666,0.0
CH3BH2,methylborane,7,12538964,0.0
C2H5,Ethyl radical,7,2025561,0.0
C3H4,cyclopropene,7,2781853,0.0
CH2CCH2,allene,7,463490,0.0
CH3CCH,propyne,7,74997,0.0
CH3NH2,methyl amine,7,74895,0.0
CH3CHN,methylmethaniminyl radical,7,28445332,0.0
CH2CHNH,vinylazine,7,50614034,0.0
NHCHNH2,aminomethanimine,7,10000,0.0
C3H3N,acrylonitrile,7,107131,0.0
CH3N3,methyl azide,7,624908,0.0
C3H2N2,Malononitrile,7,109773,0.0
CH2N4,1H-Tetrazole,7,288948,0.0
H2ONH3,Water Ammonia Dimer,7,33,0.0
H2OH2CO,water formaldehyde dimer,7,55,0.0
CH3CHO,Acetaldehyde,7,75070,0.0
C2H4O,Ethylene oxide,7,75218,0.0
CH2(OH)2,methanediol,7,463570,0.0
CH2CHOH,ethenol,7,557755,0.0
CH3OOH,Methyl peroxide,7,3031730,0.0
CH3ONO,Methyl nitrite,7,624919,0.0
CH3NCO,methylisocyante,7,624839,0.0
NH2COOH,Carbamic acid,7,463774,0.0
CH3NO2,"Methane, nitro-",7,75525,0.0
HOCH2CN,cyanomethanol,7,107164,0.0
C2H3NO,Nitrosoethylene,7,54680523,0.0
H3BO3,Boric acid,7,10043353,0.0
C3H2O2,Propiolic acid,7,471250,0.0
C2H2N2O,Furazan,7,288379,0.0
CHOCOOH,oxo acetic acid,7,298124,0.0
CHOOCHO,diformyl ether,7,1588674,0.0
N2O5,Dinitrogen pentoxide,7,10102031,0.0
CH2FCHO,Fluoroacetaldehyde,7,1544463,0.0
CH3COF,Acetyl fluoride,7,557993,0.0
CF3CHO,trifluoroacetaldehyde,7,75901,0.0
F2CCCF2,tetrafluoroallene,7,461687,0.0
CF3COF,trifluoroacetyl fluoride,7,354347,0.0
H3AlO3,Aluminum hydroxide,7,21645512,0.0
SiH3NH2,"Silane, amino",7,13598782,0.0
CH3PH2,Methyl phosphine,7,593544,0.0
CF3PH2,"phosphine, (trifluoromethyl)-",7,420520,0.0
PF3CH2,"phosphorane, trifluoromethylene-",7,110638169,0.0
PF6,Hexafluorophosphate neutral,7,16919189,0.0
C2H4S,Thiirane,7,420122,0.0
CH2CHSH,Ethenethiol,7,917599,0.0
HSCH2SH,Methanedithiol,7,6725640,0.0
CH3SSH,Hydrogen methyl disulfide,7,6251269,0.0
CH3CHS,Thioacetaldehyde,7,6851930,0.0
H2SO4,Sulfuric acid,7,7664939,0.0
C2H2N2S,"1,3,4-Thiadiazole",7,289065,0.0
SF6,Sulfur Hexafluoride,7,2551624,0.0
CH2CH2Cl,2-chloroethyl radical,7,16519996,0.0
CHClCH3,1-chloroethyl radical,7,16520131,0.0
CH2ClCHO,chloroacetaldehyde,7,107200,0.0
CH3COCl,Acetyl Chloride,7,75365,0.0
CHCl2CHO,dichloroacetaldehyde,7,79027,0.0
CH2ClCCCl,"1,3-dichloropropyne",7,927753,0.0
CHCl2CCH,"3,3-dichloropropyne",7,25523142,0.0
CHClCCHCl,"1,3-dichloroallene",7,83682320,0.0
CCl3CHO,trichloroacetaldehyde,7,75876,0.0
CF3COCl,trifluoroacetyl chloride,7,354325,0.0
SF5Cl,sulfur chloropentafluoride,7,13780579,0.0
H2SeO4,Selenic acid,7,7783086,0.0
SeF6,Selenium hexafluoride,7,7783791,0.0
B2H6,Diborane,8,19287457,0.0
C2H6,Ethane,8,74840,0.0
C3H5,Allyl radical,8,1981802,0.0
CH3CHCH,1-propenyl radical,8,6067681,0.0
H2CCCCH2,Butatriene,8,2873509,0.0
C4H4,cyclobutadiene,8,1120532,0.0
C2H3CCH,1-Buten-3-yne,8,689974,0.0
C4H4,Tetrahedrane,8,157391,0.0
C6H2,hexatriyne,8,3161997,0.0
NH3NH3,Ammonia Dimer,8,22,0.0
CH3NH3,methyl ammonium radical,8,17000009,0.0
BH3NH3,borane ammonia,8,13774817,0.0
NH2BHNH2,diaminoborane,8,18447535,0.0
CH3CHNH,ethanimine,8,20729413,0.0
C2H5N,Aziridine,8,151564,0.0
CH2CHNH2,aminoethene,8,593679,0.0
CH2NCH3,N-methylmethanimine,8,1761677,0.0
NH2CCNH2,Diaminoacetylene,8,4403547,0.0
NH2CH2CN,Aminoacetonitrile,8,540614,0.0
C3H3N2,imidazolyl radical,8,36954037,0.0
C2H3N3,"1H-1,2,4-Triazole",8,288880,0.0
C2H2N4,sym-tetrazine,8,290960,0.0
C4H2N2,Fumaronitrile,8,764421,0.0
CH(CN)3,tricyanomethane,8,454502,0.0
HN=C=C(CN)2,Dicyanoketenimine,8,50655522,0.0
CH3OCH2,methoxymethyl radical,8,16520040,0.0
CH3CHOH,1-hydroxy-ethyl radical,8,2348461,0.0
CH3CH2O,Ethoxy radical,8,2154509,0.0
NH2CH2OH,aminomethanol,8,3088275,0.0
CH2CH2OH,2-hydroxy ethyl radical,8,4422542,0.0
C3H4O,Cyclopropanone,8,5009278,0.0
C3H4O,Methylketene,8,6004440,0.0
CHOCH2OH,hydroxy acetaldehyde,8,141468,0.0
NH2CONH2,Urea,8,57136,0.0
CH3COOH,Acetic acid,8,64197,0.0
HCOOHH2O,Formic acid water dimer,8,99,0.0
H2OHCOOH,Water formic acid dimer 1,8,102,0.0
H2OHCOOH,Water formic acid dimer 2,8,113,0.0
C3H4O,2-Propyn-1-ol,8,107197,0.0
CH3OCHO,methyl formate,8,107313,0.0
CH2CHCHO,Acrolein,8,107028,0.0
C3H4O,allenol,8,9000071,0.0
HOCH2OOH,hydroxy methyl peroxide,8,15932895,0.0
C2H4O2,"1,3-dioxetane",8,61233190,0.0
CH3C(O)OO,acetyl peroxy radical,8,36709101,0.0
C3H3NO,Oxazole,8,288426,0.0
C3H3NO,Isoxazole,8,288142,0.0
CH3NO3,Methyl nitrate,8,598583,0.0
C3H2O3,vinylene carbonate,8,872366,0.0
C2H2O4,Oxalic Acid,8,144627,0.0
C2H5F,fluoroethane,8,353366,0.0
CH3CHF2,"Ethane, 1,1-difluoro-",8,75376,0.0
C2H4F2,"1,2-difluoroethane",8,624726,0.0
CHF2CH2F,"Ethane, 1,1,2-trifluoro",8,430660,0.0
CH3CF3,"Ethane, 1,1,1-trifluoro-",8,420462,0.0
BF3NH3,Boron trifluoride monoammoniate,8,137019869,0.0
NH3BF3,Amminetrifluoroboron,8,13709869,0.0
CHF2CHF2,"1,1,2,2-tetrafluoroethane",8,359353,0.0
CF3COOH,trifluoroacetic acid,8,76051,0.0
CF3CH2F,"1,1,1,2-tetrafluoroethane",8,811972,0.0
CF3CHF2,pentafluoroethane,8,354336,0.0
C2F6,hexafluoroethane,8,76164,0.0
C4F4,tetrafluorcyclobutadiene,8,57070334,0.0
Al2H6,dialane,8,12004307,0.0
CH3SiH3,methyl silane,8,992949,0.0
Si2H6,disilane,8,1590870,0.0
CH3SiFH2,fluoromethylsilane,8,753446,0.0
SiH3CCl3,(trichloromethyl)silane,8,120434277,0.0
BH3PH3,borane phosphine,8,19121563,0.0
H3PO4,Phosphoric Acid,8,7664382,0.0
NH2CSNH2,Thiourea,8,62566,0.0
C3H3NS,Thiazole,8,288471,0.0
S4N4,Tetrasulfur tetranitride,8,28950347,0.0
S8,Octasulfur,8,10544500,0.0
CH3CH2Cl,Ethyl chloride,8,75003,0.0
CH3CHCl2,"Ethane, 1,1-dichloro-",8,75343,0.0
CH2ClCH2Cl,"Ethane, 1,2-dichloro-",8,107062,0.0
CH2FCH2Cl,"Ethane, 1-chloro-2-fluoro-",8,762505,0.0
CH3CHFCl,"Ethane, 1-chloro-1-fluoro-",8,1615754,0.0
CH3CFCl2,"1,1-Dichloro-1-fluoroethane",8,1717006,0.0
SiCl3CH3,methyltrichlorosilane,8,75796,0.0
CH2ClCHCl2,"1,1,2-trichloroethane",8,79005,0.0
CH3CF2Cl,"1-Chloro-1,1-Difluoroethane",8,75683,0.0
CH3CCl3,"Ethane, 1,1,1-trichloro-",8,71556,0.0
NH3BCl3,Amminetrichloroboron,8,49860186,0.0
CHFClCHFCl,"1,2-dichloro-1,2-difluoroethane RR",8,33489304,0.0
CHFClCHClF,"ethane, 1,2-dichloro-1,2-difluoro-",8,33579372,0.0
CHCl2CHCl2,"Ethane, 1,1,2,2-tetrachloro-",8,79345,0.0
CF3CH2Cl,"2,2,2-Trifluoroethyl chloride",8,75887,0.0
CHCl2CHF2,"1,1-dichloro-2,2-difluoroethane",8,471432,0.0
CH2ClCCl3,"1,1,1,2-tetrachloroethane",8,630206,0.0
CF3CHFCl,"1,1,1,2-tetrafluorochloroethane",8,2837890,0.0
CF3CHCl2,"1,1-Dichloro-2,2,2-trifluoroethane",8,306832,0.0
CHCl2CClF2,"Ethane, 1,2,2-trichloro-1,1-difluoro-",8,354212,0.0
CCl3CHCl2,pentachloroethane,8,76017,0.0
CF2ClCFCl2,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",8,76131,0.0
CF2ClCF2Cl,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",8,76142,0.0
CF3CF2Cl,pentafluorochloroethane,8,76153,0.0
C2Cl6,hexachloroethane,8,67721,0.0
CF3CCl3,"1,1,1-trifluoro-2,2,2-trichloroethane",8,354585,0.0
CF3CFCl2,"1,1-Dichlorotetrafluoroethane",8,374072,0.0
Al2Cl6,"Aluminum, di-μ-chlorotetrachlorodi-",8,13845120,0.0
Ga2H6,digallane,8,12140588,0.0
GeH3CH3,methyl germane,8,1449656,0.0
C2H5Br,Ethyl bromide,8,74964,0.0
CH2BrCH2Cl,1-bromo-2-chloroethane,8,107040,0.0
CH2BrCH2Br,"Ethane, 1,2-dibromo-",8,106934,0.0
CH3CBr3,"1,1,1-tribromoethane",8,2311140,0.0
CH2BrCBr3,"1,1,1,2-tetrabromo ethane",8,630160,0.0
C2H5I,Ethyl iodide,8,75036,0.0
IF7,Iodine heptafluoride,8,16921963,0.0
C3H6,Cyclopropane,9,75194,0.0
CH2CHCH3,Propene,9,115071,0.0
C5H4,pentatetraene,9,21986038,0.0
NH2CH2NH2,diaminomethane,9,2372885,0.0
CH5N3,Guanidine,9,113008,0.0
C2H5CN,ethyl cyanide,9,107120,0.0
C3H4N2,1H-Imidazole,9,288324,0.0
C3H4N2,1H-Pyrazole,9,288131,0.0
C3H4N2,4H-Imidazole,9,9000162,0.0
C3H4N2,2H-Imidazole,9,9000173,0.0
C4H4N,pyrrolide radical,9,23303095,0.0
C3H3N3,"1,3,5-Triazine",9,290879,0.0
CH3N5,5-Aminotetrazole,9,4418615,0.0
C(CN)4,tetracyanomethane,9,24331097,0.0
CH3OCH3,Dimethyl ether,9,115106,0.0
CH3CH2OH,Ethanol,9,64175,0.0
H2OCH3OH,water methanol dimer,9,77,0.0
CH3OHH2O,methanol water dimer,9,88,0.0
CH3CONH2,Acetamide,9,60355,0.0
CH3CHNOH,Acetaldoxime,9,107299,0.0
HCONHCH3,N-methylformamide,9,123397,0.0
CH3COCH2,Acetonyl radical,9,3122074,0.0
C2H5OO,ethylperoxy radical,9,3170614,0.0
CH3C(OH)=NH,Ethaninidic acid,9,27595751,0.0
CH2C(OH)NH2,1-amino vinyl alchohol,9,99766582,0.0
HOCHCCHOH,allenediol,9,9000400,0.0
C3H4O2,propenalol,9,9000128,0.0
C2H4O3,"1,2,3-trioxolane",9,6669369,0.0
CH3COCCH,3-butyn-2-one,9,1423605,0.0
C4H4O,Furan,9,110009,0.0
C2H4O3,trioxolane124,9,289145,0.0
C3H4O2,propanedial,9,542789,0.0
C3H4O2,2-Propenoic acid,9,79107,0.0
HOCH2COOH,Hydroxyacetic acid,9,79141,0.0
C3H4O2,Methyl glyoxal,9,78988,0.0
C3H4O2,β–Propiolactone,9,57578,0.0
C2H3NO3,Oxamic acid,9,471476,0.0
C4H2O3,Maleic Anhydride,9,108316,0.0
CH2FCH2OH,2-fluoroethanol,9,371620,0.0
CH2CHCH2F,Allyl Fluoride,9,818928,0.0
CH2CFCH3,2-fluoropropene,9,1184607,0.0
CH3CHCHF,trans-1-Fluoro-1-propene,9,20327655,0.0
C3F6,hexafluoropropene,9,116154,0.0
CH3SCH3,Dimethyl sulfide,9,75183,0.0
CH3CH2SH,ethanethiol,9,75081,0.0
CH3CSNH2,Ethanethioamide,9,62555,0.0
C4H4S,Thiophene,9,110021,0.0
C3H5Cl,"1-Propene, 3-chloro-",9,107051,0.0
CH2ClCH2OH,2-Chloroethanol,9,107073,0.0
C3H5Cl,1-chloro-1-propene(Z),9,16136848,0.0
C3H5Cl,1-chloro-1-propene(E),9,16136859,0.0
C4H3ClO,"Furan,3-chloro",9,50689173,0.0
C4H3ClO,"Furan, 2-chloro",9,3187948,0.0
C3Cl3N3,"1,3,5-Triazine, 2,4,6-trichloro-",9,108770,0.0
Zn(CH3)2,dimethyl zinc,9,544978,0.0
CH3SeCH3,dimethylselenide,9,593793,0.0
C4H4Se,selenophene,9,288051,0.0
CH3CHCH3,Isopropyl radical,10,2025550,0.0
C3H7,n-Propyl radical,10,2143615,0.0
C4H6,Cyclobutene,10,822355,0.0
C4H6,1-Methylcyclopropene,10,3100047,0.0
C4H6,Methylenecyclopropane,10,6142730,0.0
C4H6,Bicyclo[1.1.0]butane,10,157335,0.0
CH2CCHCH3,"1,2-Butadiene",10,590192,0.0
CH3CCCH3,2-Butyne,10,503173,0.0
CH2CHCHCH2,"1,3-Butadiene",10,106990,0.0
CHCCH2CH3,1-Butyne,10,107006,0.0
C5H5,cyclopentadienyl radical,10,2143535,0.0
C6H4,"(Z)-Hexa-1,5-diyne-3-ene",10,16668670,0.0
C6H4,"(E)-Hexa-1,5-diyne-3-ene",10,16668681,0.0
C6H4,Benzyne,10,462806,0.0
CH3NHCH3,Dimethylamine,10,124403,0.0
CH3CH2NH2,Ethylamine,10,75047,0.0
H2NCHCHNH2,diaminoethylene,10,4013438,0.0
CH3NNCH3,"(E)-1,2-Dimethyldiazene",10,4143413,0.0
CH3NNCH3,"(Z)-1,2-Dimethyldiazene",10,4143424,0.0
C4H5N,Cyclopropanecarbonitrile,10,5500210,0.0
C4H5N,(Z)-2-Butenenitrile,10,1190767,0.0
C4H5N,(E)-2-Butenenitrile,10,627269,0.0
CH2CHCH2CN,Allylcyanide,10,109751,0.0
C4H5N,Pyrrole,10,109977,0.0
C4H5N,2H-pyrrole,10,9000377,0.0
C4H5N,3H-pyrrole,10,9000366,0.0
C2H4N4,"1H-Tetrazole, 1-methyl-",10,16681779,0.0
C2H4N4,"2H-Tetrazole, 2-methyl-",10,16681780,0.0
C4H4N2,Succinonitrile,10,110612,0.0
C4H4N2,Pyridazine,10,289805,0.0
C4H4N2,"1,3-Diazine",10,289952,0.0
C4H4N2,Pyrazine,10,290379,0.0
C2H4N4,"1H-Tetrazole, 5-methyl-",10,4076362,0.0
C6N4,Tetracyanoethylene,10,670542,0.0
CH3OOCH3,dimethylperoxide,10,690028,0.0
CH3CH2CHO,Propanal,10,123386,0.0
C3H6O,Oxetane,10,503300,0.0
C3H6O,2-Propen-1-ol,10,107186,0.0
C2H6O2,"1,2-Ethanediol",10,107211,0.0
C3H6O,Propylene oxide,10,75569,0.0
CH3COCH3,Acetone,10,67641,0.0
